startup_name,startup_oneliner,startup_desc,year_founded,origin_country,startup_url,industry_1,industry_2,industry_3,industry_4,industry_5
RiceDolls,null,Makeup discovery platform for Asian women,2015,Malaysia,http://ricedolls.com,Lifestyle & Fashion,null,null,null,null
Saora Industries,Saora aims to touch and uplift lives with green technology through holistic development.,Saora Industries looks into the uplifting of lives through safe and affordable technology. Saora has innovated the solar powered water purification in the aim of delivering clean drinking water to rural and marginalised communities.Saora holds the proprietary rights to the technology that is being delivered to these rural homes.Saora works with various partners in making sure the impact is maximised throughout the process.,2015,Malaysia,http://saoraindustries.com,Environment,null,null,null,null
Shoptizen,null,Lifestyle platform that connects brands to fashionistas and young adults. You get rewarded by sharing and advocating your favorite brands.,2017,Malaysia,http://bit.ly/ShoptizenApp,Lifestyle & Fashion,null,null,null,null
Soft Space,Reshaping Finance,"Soft Space simplifies the complexity of financial infrastructure, provide intelligence to grow and bring partners together in an ecosystem all of which is aimed at reshaping finance. It is a tech company working in the digital payments sector.",2012,Malaysia,http://softspace.com.my,Finance,null,null,null,null
System Consultancy Services,null,"System Consultancy started when it was appointed as the consultant to the government of Malaysia to assist in the implementation of a large command and control system for the Ministry of Defence, Malaysia.
Our goal is to be a one-stop solution provider for advanced electronics, computers and telecommunications in the fields of engineering and Research & Development (R&D), consultancy and superior maintenance support services.",2009,Malaysia,http://scs.my,Consulting & Services,null,null,null,null
Tapway,null,In-Store analytics using Big Data and IoT,2013,Malaysia,https://gotapway.com/,Information & Communication ,null,null,null,null
Taxi Monger,null,Taxi booking app,2012,Malaysia,http://taximonger.com,Logistic & Transportation,null,null,null,null
Terato Tech,null,Software development company,2009,Malaysia,http://www.teratotech.com/,Consulting & Services,null,null,null,null
TextBookAsia,Education the Savvy Way,TextBookAsia is the beginning of a new era in the education industry. We focus on Digital Solutions and E-Books in Higher Education and we aspire to bring technology into practical use for both the University and students alike. We are here to enable and bridge traditional textbooks with digital solutions thus enhancing the overall education experience and learning outcomes.,2011,Malaysia,http://textbookasia.com,Education,null,null,null,null
The Lilac Box,null,"Every month, we deliver specially hand-picked premium beauty products. And we send them to you in a box, wrapped with a bit of love",2018,Malaysia,http://thelilacbox.com,Lifestyle & Fashion,null,null,null,null
Thinking Green,null,"Thinking Green specialises in designing products, particularly in the field of microarchitecture, integrating green technology with aesthetic appeal and providing an attractive alternative solution to equipment currently available.",null,Malaysia,http://thinkinggreen.com.my/,Environment,null,null,null,null
Travella,null,Online platform tor booking hotels,2014,Malaysia,http://www.travella.com,Travel & Tourism,null,null,null,null
WebTVAsia,null,"WebTVAsia is the leading multi-platform digital video network & production studio in Asia, with offices in Beijing, Bangkok, Kuala Lumpur and Hong Kong.",2013,Malaysia,http://webtvasia.com,Media and Entertainment,null,null,null,null
wobb,null,A recruitment platform that helps young businesses in Malaysia use their work culture to attract great people to join them.,2014,Malaysia,http://wobb.my/,Consulting & Services,null,null,null,null
WWW 1337 TECH,null,is a startup from Malaysia that focus on creating new generation consumer apps.,null,Malaysia,null,Information & Communication ,Logistic & Transportation,null,null,null
YToday,null,A Sponsorship and Event Matching Platform for Youth and Brands,2011,Malaysia,http://youthstoday.com,Education,null,null,null,null
Zap Zap Math,null,Gaming app for practicing Math,2015,Malaysia,http://zapzapmath.com,Education,null,null,null,null
Zorage,null,Zorage simplified self storage and home storage by provides on-demand storage to household and small businesses,2015,Malaysia,http://zorage.com,Information & Communication ,null,null,null,null
Aztetic,null,SaaS-based online storefront creating platform,2015,Malaysia,http://aztetic.my,E-Commerce,null,null,null,null
Bukufi,null,"Distribution platform of digital content like eBook, audio-books",2015,Malaysia,http://bukufi.com,Media and Entertainment,null,null,null,null
Cara Com My Sdn Bhd,Tech developer,"We develop software to provide system improvement and solution, IR4.0.",2008,Malaysia,http://www.cara.com.my,Consulting & Services,Engineering & Construction,Information & Communication ,Logistic & Transportation,"Medical, Health & Wellness"
Christy Ng,null,Online retail platform for women's footwear.,2017,Malaysia,http://ChristyNg.com,Lifestyle & Fashion,null,null,null,null
Datamicron Systems,Blazing fast data discovery,"DataMicron is a technology company which offers innovative solutions for Big Data, Internet of Things and Business Intelligence (BI). Our product helps world leading organizations to remain competitive by managing and improving their business processes,  operational excellence, human capital alignment and business strategy through the usage of data analytics.",2006,Malaysia,http://datamicron.com,Information & Communication ,null,null,null,null
DF Automation and Robotics,Design and manufacture Autonomous Mobile Robot for industries to reduce labor reliance and increase efficiency.,DF designs and manufactures Automated Guided Vehicle (AGV) for industries. One of DF latest product is Zalpha model where it is easy to setup and maintain. Zalpha can navigates on it's own either with magnetic tape or surrounding feature. https://www.youtube.com/watch?v=JUE08s9u064,2012,Malaysia,https://www.dfautomation.com/,Information & Communication ,Logistic & Transportation,null,null,null
DNSVault,developing DNS appliance&DNS cloud services to help companies  manage&protect their domain with attractive GUI&simple 1-click DNSSEC,"DNSVault is a Domain Name System (DNS) application that define a new meaning in DNS security and future of DNS management. DNSVault take security of DNS very seriously, not just about DNS, but the whole concept of DNSVault is based on simplify, secure and improve reliability. DNSVault comes with two variants which are cloud service and appliance (hardware based).",2013,Malaysia,http://www.dnsvault.net,Security,null,null,null,null
Evenesis,null,Event registration and management tools,2010,Malaysia,http://evenesis.com,"Event, Marketing, Advertising",null,null,null,null
Firegent iASP,null,Data repository and organizer,2003,Malaysia,http://firegent.com,Information & Communication ,null,null,null,null
Job4locum,null,Job4locum.my is a website that acts as the platform for doctors and clinics whereby doctors able to grab locum offered by clinics or hospitals.,2014,Malaysia,http://job4locum.com,"Medical, Health & Wellness",null,null,null,null
Madcat World,"Madcat World are the creators of PeaceBeUponYou, an app aimed at helping users ","Madcat World develops mobile apps and produces meaningful content that enrich peopleâ€™s lives with over 1.3 million downloads from 201 countries. Our flagship app is PeaceBeUponYou which aims at helping users discover inspirational and educational content. PeaceBeUponYou app features daily reminders, articles, duas, zikir, songs, solat times, crowdsourced Musollas and halal restaurant information. The app also functions as a gateway to a variety of content of important topics such as adab, family, fiqh, social and women. The next phase will include commerce and services.",2017,Malaysia,null,Information & Communication ,null,null,null,null
MilkADeal,cashback platform that help consumers save money with cash rebates on their online purchases,"MilkADeal Cashback is consumer cashback site based in Malaysia. We offer cash rebates for users using our website to purchase at other e-commerce websites. Our partner websites includes Groupon, Lazada, Zalora, Ensogo & many more. We also work with more than 50 local websites to help bring them sales & exposure.",2010,Malaysia,http://www.milkadeal.com,E-Commerce,null,null,null,null
NeonRunner,null,"Consider NeonRunner as your personal assistant, concierge, despatch runner and traffic-beating, time-defying superhero all rolled into one. You will so value your NeonRunner that you will soon forget a time there wasn't one.",2014,Malaysia,http://neonrunner.com,Logistic & Transportation,null,null,null,null
OPS NINJA,null,"OpsNinja is a new-generation Business Process Outsourcing (BPO) service, providing technology startups with the people power and tools to scale their ops team exponentially and quickly.",null,Malaysia,http://opsninja.co,Jobs & HR,null,null,null,null
Radica Software,null,"Radica Software makes an easy to use Electrical CAD Software that's based on Microsoft Visio, used by major corporations all over the world.",2004,Malaysia,http://radicasoftware.com,Engineering & Construction,Information & Communication ,null,null,null
Signature Market,VIP wholesale shopping club focus on natural & organic products ,Signature Market is an eCommerce (VIP Model) selling natural & organic products. Our members get 30% - 50% off retail prices for wholesome products. We own a direct to consumer brand Signature Snack. https://www.youtube.com/watch?v=s-yKZRJwpSk,2017,Malaysia,https://www.signaturemarket.co/,E-Commerce,Food & Beverages,null,null,null
Sometime,"We are a bag specialist company that works with Asian designers, fashion icons","We are a bag specialist company that works with Asian designers, fashion icons and brands to design and produce exclusive bags. 
Our production team is the very same one that makes bags for some of the international designer bag labels in the market. We then engage digital technology and eCommerce as channels for sales and distribution.

The entire process eliminates various markup, middlemen plus brick and mortar expenses to enable us to price our bags without the traditional retail markup. ",2012,Malaysia,http://www.sometime.asia,E-Commerce,null,null,null,null
Tanimac,Tanimac develops agricultural tools for farmers,"We at TaniMac are the farming-engineers-brothers who produces innovative tools for small scale farms.
At TaniMac, we solve farmers' tedious and tiring routines. We get farmers to complete their jobs more efficiently.
We produce tools with farmers well being in mind, so, farmers can complete their farming routines more ergonomically, more efficiently and with more profit.
https://youtu.be/EK7T0gvJkR0 ",2015,Malaysia,https://tanimac.com/,Agriculture,null,null,null,null
Arus,null,Arus is a social enterprise that focuses on providing students a relevant learning experience through maker education.,2014,Malaysia,http://arusacademy.org.my,Education,null,null,null,null
Auto Craver,connect people who buy or sell used car through an online platform that eliminates expensive middleman like car dealership,"Auto Craver provides the comfort of buying a second hand car without actually going to a dealership and having to deal with creepy salesmenâ€™s. Hop on our site, browse and shortlist potentials cars which translates to cost servings for you.Furthermore quite a lot of people may not know about buying a car and thus Auto Craver provides an independent opinion on the status and condition of the car. Auto Craver will perform a comprehensive 150-Point inspection, test drive and provide a complete inspection result for the buyer to shortlist their preference",2016,Malaysia,http://www.autocraver.com,Logistic & Transportation,null,null,null,null
Belazee,null,Text based app for concierge service,2015,Malaysia,http://belazee.com,E-Commerce,null,null,null,null
BorderPass,An autogate service that gets travellers through airport immigration in seconds.,BorderPass is an autogate service that expedites passengers through airport immigration. ,2014,Malaysia,http://www.borderpass.com,Travel & Tourism,null,null,null,null
CoinGecko,null,Cryptocurrency valuation and ranking website,2014,Singapore,http://coingecko.com,Finance,null,null,null,null
Creative Minds,null,"Cstablished in 2012, Creative Minds is a Malaysian company whose founder, Muhammad Shafiq after his own personal experiences in engineering and education back in Cheras, Kuala Lumpur.

Creative Minds started off as an robotic educational center specialising in LEGO Mindstorms EV3 and LEGO Education products.

Over the last 5 years, Creative Minds has grown from strength to strength, providing customized solutions for schools in all areas of the STEM curriculum through workshops for students and teachers, consultancy services to help schools adopt best practices to develop 21st century competencies in their students and supplying the latest in educational platforms, to more than 100 MOE schools in Malaysia as well as many private and international schools.",2012,Malaysia,http://creativeminds.edu.my,Education,Information & Communication ,null,null,null
EasyParcel,null,Parcel rate comparison and booking platform,2016,Malaysia,http://easyparcel.com,Logistic & Transportation,null,null,null,null
FutureLab,Connect students and fresh graduates to industry mentors to up skill them secure jobs in this difficult job market,Futurelab is a social enterprise that aims to help connect students and job seekers to working professionals (mentors) who can provide informal advice on how to secure a job in their company.,2014,Malaysia,https://www.futurelab.my,Education,null,null,null,null
GIG88,GIG88 enables the discovery and booking of performing artists for events easily by  removing the hassle of traditional booking methods. ,GIG88 enables the discovery and booking of performing artists for events easily by removing the hassle of traditional booking methods.,2017,Malaysia,https://www.gig88.com,Entertainment,null,null,null,null
Influx Holding,null,"Specialises in design, specification and manufacturing of bypass fat and palm fat to help farmers increase yield.",2016,Malaysia,http://influxlipids.com,Biotechnology,null,null,null,null
Logikation,an IoT company specialized in environment monitoring system for business and homes,LOGIKATION is an IoT company specialized in environment monitoring systems for businesses and homes. https://youtu.be/hF5D0UHvJeU ,2016,Malaysia,http://logikation.com/,Information & Communication ,null,null,null,null
Microbs,null,"Microbs is a total waste management solutions provider for a vast range of industries such as commercial development, hotels and resorts, factories and more.",2013,Malaysia,http://microbs.com.my,Environment,null,null,null,null
MobileWaiter.my,online hawker and restaurant food ordering and delivery service.,MobileWaiter.my provides an online hawker and restaurant food ordering and delivery service.,2016,Malaysia,http://MobileWaiter.my,E-Commerce,Logistic & Transportation,null,null,null
Natural Wellness,null,Natural Wellness is one of Malaysia's fastest growing nutraceutical and cosmeceutical company.,1999,Malaysia,http://mynaturalwellness.com,Biotechnology,null,null,null,null
OmbrÃ©,"Ombre is a free, algorithmic, personal fashion styling app that helps determine suitable  outfits for users based on their physical traits. ","Freee, algorithmic and personal fashion styling app that helps to determine the outfit suitable for users based on their physical traits.",2017,Malaysia,http://www.ombre.me/#fashion-is-now-personal,E-Commerce,null,null,null,null
Plant Cartridge,null,Plant Cartridge is a full stack agriculture focus tech start-up that aims to disrupt the agriculture industry by providing the tools and platform (hardware/software) to actively encourage every household to grow their own food in order to solve the global food production shortage using sustainable micro urban farming method which utilize less resources and produce higher quality affordable fresh local crops compared to industrial farms,2016,Malaysia,http://plantcartridge.com/,Agriculture,null,null,null,null
Printcious,"online platform with design tools  for customers to customise their DIY gifts such as T-SHirts, mugs, phone cases, etc","Printcious.com is an online DIY gift printing platform in SEA. Our products are customised photo gifts such as T-shirt, mug, cushion, puzzle, phone case & more than 200 gift items that printed with customers' photos & messages using advanced heat transfer printing & digital printing technologies. Customers can visit our website to upload photos, enter message & make payment online. Our designer will then design their artwork, print & deliver to them in 3 - 5 working days. Suitable for birthday, wedding, anniversary occasions. Our slogan is ""Precious Gifts From Your Heart"". ",2015,Malaysia,https://www.printcious.com/my,E-Commerce,null,null,null,null
Saltycustoms,null,SaltyCustoms supply and design custom apparel for events & companies.,2010,Malaysia,http://saltycustoms.com,E-Commerce,null,null,null,null
Stampede Solution,Debt collection made easy,Stampede Solution is the leader in End-to-end Enterprise Account Receivable Management System with 15 years' of track record in Southeast Asia.,2002,Malaysia,http:/www.stampedesolution.com/,Finance,null,null,null,null
Supplycart,null,Supplycart simplifies procurement for businesses through a single platform,2016,Malaysia,https://www.supplycart.my/,E-Commerce,null,null,null,null
Terapi.MY,On-site massage therapy for businesses,Online platform to book massage services at home.,2015,Malaysia,http://terapi.my,"Medical, Health & Wellness",null,null,null,null
The Chic Initiative,null,"The Chic Initiative is a premier online retailer of evening bags, clutches and minaudiÃ¨res.",2016,Malaysia,http://thechicinitiative.com,E-Commerce,null,null,null,null
Veriva Systems,SPECIALIZING IN CALL RECORDING SOLUTIONS FOR FINANCIAL TRADING ROOMS AND THE CONTACT CENTRE INDUSTRY,"Veriva Systems develops innovative customer centric solutions for monitoring and recording audio communications over traditional telephony, radio and VoIP platforms",2015,Malaysia,http://verivasystems.com,Finance,null,null,null,null
WeStyleAsia,WeStyleAsia allows customers to discover hairstylists and beauty & wellness experts  based on their personal preferences.,"WeStyleAsia is an online destination that helps people to find their trusted hairstylist, beauty and wellness experts, saving time and money, booking the services at real time. 

We aim to forge that kindred spirit between hair and beauty professionals and their customers through connecting them anytime, anywhere. As customers, the platform allows easy discovery to their preferred stylists and salons - this includes location, budget, style, reviews, recommendation and stylistsâ€™ portfolio. As merchants, WeStyleAsia would act as a strategic partner to value-add their business by creating a polished online presence, marketing their abilities through promoting their portfolios and lead generation",2017,Malaysia,http://www.westyleasia.com,Consulting & Services,Lifestyle & Fashion,null,null,null
Yumcious,Yumcious is a community marketplace where users can sell amazing food or get delicious  food delivered to their doorstep. ,"Yumcious is a community marketplace for home cooked food. Sell what you've cooked, or get amazing food delivered straight to your door.",2017,Malaysia,http://yumcious.com,Food & Beverages,null,null,null,null
Blublack Productions,null,"Blublack Productions Sdn Bhd is a Malaysian media production company that specialises in producing sports content.
Blublack Productions has produced numerous sporting content for the likes of the Badminton World Federation, Total
Sports Asia and also Kementerian Belia dan Sukan (KBS). Some events which Blublack Productions have covered are
the Monsoon Cup, The All England badminton championship and also the National Football Development Programmeâ€™s
tour of Europe.",2017,Malaysia,http://www.blublack.com.my,Media and Entertainment,null,null,null,null
BuildEasy,BuildEasy allow users to customise their home using wide range of designs online and have their home ready in 4-8 weeks,"An online platform offering a home design and renovation solution with options for online customisation together with end to end renovation. In essence, we remove the need to interact with a contractor or designer to achieve your dream home.",2017,Malaysia,http://webuildeasy.com,E-Commerce,Real Estate,null,null,null
ClearMyWardrobe,null,A web platform that provide valet service to help you sell your personal owned clothes and vintage item,2017,Malaysia,http://www.clearmywardrobe.com.my,Lifestyle & Fashion,null,null,null,null
Creations by C&C,null,Custom designed jewellery inspired by Olympic Gold Medalist Dominique Moceanu.,2017,Malaysia,http://creationsbycandc.com/,Lifestyle & Fashion,null,null,null,null
Dagang Algomecs,We make automated trading accessible for all ,We make automated trading accessible for all,2017,Malaysia,https://algomecs.co/,Finance,null,null,null,null
Digital Durian,null,null,2017,Malaysia,http://digitaldurian.tv/,Entertainment,Media and Entertainment,null,null,null
Doctoroncall,DOCpod - DoctorOnCall Digital Healthcare Pod,"The â€œimmediately addressableâ€ market size for medical video-consult
& medicine delivery is ~RM3.1 billion or ~26%* of total outpatient
visits in Malaysia",2016,Malaysia,https://www.doctoroncall.com.my/,Consulting & Services,Media and Entertainment,null,null,null
Dropee.com,Join now and enjoy Dropeeâ€™s full range of  services to boost your online sales and bulk  selling!,"Dropee is a one-stop B2B eProcurement Platform and Enterprise Solution for all types of businesses. Our B2B platform allows businesses to get connected in order to buy and sell in bulk, and the Enterprise Solution allows businesses to streamline their operational processes to work more efficiently and effectively.",2017,Malaysia,https://www.dropee.com/,E-Commerce,null,null,null,null
HOLISTICS Lab,"QuikHalal: The Fastest, Easiest and Smartest Way to Halal and Food Safety Compliance","HOLISTICS Lab Sdn Bhd mission is to promote research, development and commercialisation activities in organisational, social and technological aspects of Halal industry with the aim to preserve and maintain the integrity of products and services across the Halal supply chain. Our company deals with the computation, cognitive and social aspects of resources, devices, methods, techniques, and methodologies required to optimize the acquisition, storage, retrieval, and use of information in Halal supply chain (Farm to Fork) based on halal standard and Shariah Law.",2015,Malaysia,http://www.holisticslab.my,Consulting & Services,null,null,null,null
Leaderonomics Community,We are a social enterprise driven by the purpose of transforming nations through leadership development,We Built Leaderonomics to grow with you on a daily basis from birth to death,2018,Malaysia,https://leaderonomics.org/en/community,Social,null,null,null,null
Mlux,null,"Short term stay ( airbnb ) maintenance & system
management, opening doors for guest",2005,Malaysia,http://www.mlux.com.my/,Logistic & Transportation,Travel & Tourism,null,null,null
PantangPlus,Booking platform offering pregnancy related services for pregnant mothers and mothers in confinement. ,"PantangPlus is an online booking platform offering pregnancy related services for pregnant mothers and mothers in confinement. The services includes (but not limited to) antenatal classes, post natal therapy, traditional Malay massage, baby massage and halal confinement food. On top of that we also provide trainings for women who aspire to pursue career in therapy industries. As for our therapists, we take away the hassle of managing customers so they can concentrate on giving the best treatments to the customer. In short, what we offer to both market segments are : the convenience of services at their fingertips.",2017,Malaysia,http://www.pantangplus.com,Consulting & Services,E-Commerce,"Medical, Health & Wellness",null,null
PichaEat,The Picha Project is a social enterprise that aims to empower marginalised groups in Malaysia through a sustainable food delivery and catering business.,"The Picha Project is a social enterprise which aims to empower marginalised communities in Malaysia through a sustainable food catering and delivery business. We provide job opportunities to families from the marginalised groups by creating a platform for them to cater food to the public, utilizing their existing cooking skills and equipping them further with professional guidance.",2017,Malaysia,http://www.pichaproject.com/,Food & Beverages,null,null,null,null
Plus Solar,Clean Technology,"green energy solutions and technology provider, offering turnkey solar services including Engineering,
Procurement, Construction and Commissioning (EPCC) for residential, commercial industrial and utilities projects at an
affordable price.",2017,Malaysia,https://plus-solar.com.my/,Energy,null,null,null,null
Socio Intelligence,null,"Innovative marketers, craftsmen coders, and designers with primary focus on social media technology.",2017,Malaysia,https://socio.com.my/,Media and Entertainment,null,null,null,null
Sonicboom Solutions,All-In-One Cashless Terminal,"Sonicboom Open Payment terminal is certification-ready and suitable for fast deployment. A simple plug-in can transform your machines to accept cashless payment enabling round-the-clock transactions without losing sales, cash-in-transit (CIT), cash collection leakage and other forms of cash handling risks. Now, you can truly enjoy the benefits of cash-free operation with increased customer convenience!",2017,Malaysia,http://www.sonicboom.my,Finance,Information & Communication ,null,null,null
Sports Bandits,null,"With the continuing focus on health & fitness and the boom in the
industry, recreational sports is underserved. Sports values &

ecosystem is lacking",2017,Malaysia,https://sportsbandits.com/,Sports & Recreation,null,null,null,null
Stephanie Ng Design,null,multi award winning lighting design studio,2017,Malaysia,https://www.stephaniengdesign.com/,Lifestyle & Fashion,null,null,null,null
SushiVid,SushiVid is Asiaâ€™s first BrandÂ­ - YouTuber marketplace,"SushiVid is Asiaâ€™s first BrandÂ­ - YouTuber marketplace. Our goal is to help the regionâ€™s talent connect seamlessly; to create a space where brands can find, hire and work with YouTubers in a single platform.  Brands wishing to engage can post their campaigns to our site. YouTubers can then respond to the brands they like by offering a campaign proposal and a quote. It is then up to the brands to choose from the best of YouTube sitting on their plate.",2017,Malaysia,http://www.sushivid.com,"Event, Marketing, Advertising",null,null,null,null
Swag,null,"we believe that high-speed and reliable internet connectivity
is a fundamental and universal need in todayâ€™s world that
drives innovation, empowers businesses, and improves lives

what we stand for
our mission is to bring fiber-like internet
speeds and reliability to anyone anywhere anytime",2017,Malaysia,https://www.swag.my/,Consulting & Services,null,null,null,null
The Daily Seni,null,"whether mainstream or indie. We believe that art & culture belongs to all, thus all should be treated equally. More
than just an art newspaper, we are also a platform of discussion for important questions regarding entertainment. Entertainment is only one part of what we do, but meaning
and identity as we elevate the status of the arts in Malaysia is our priority.",2017,Malaysia,http://www.dailyseni.com/,Media and Entertainment,null,null,null,null
Tracker Hero,null,"TrackerHero is a suite solutions to manage your workforce & security industries, whether theyâ€™re in the office or out in the field. ",2017,Malaysia,https://trackerhero.com/,Information & Communication ,Logistic & Transportation,null,null,null
Verdant Solar,null,"To make off grid solar appliances affordable & accessible to everyone
in the world.",2017,Malaysia,http://www.verdantsolar.my/,Energy,null,null,null,null
Whimsigirl,null,Ethnic wear for Malaysian kids,2017,Malaysia,http://www.whimsigirl.com,E-Commerce,null,null,null,null
ZeptoExpress,null,"""The Next Tech Delivery"" ZeptoExpress the on demand delivery platform that allows customer to make booking delivery at their convenience for a same day delivery.",2017,Malaysia,https://www.zeptoexpress.com/my/,Logistic & Transportation,null,null,null,null
100Comments.com,Tripadvisor for consumer products. ,"100Comments.com, Malaysia's first consumer review and social discovery network. Think of us as the TripAdvisor for consumer products. Undoubtedly,word of mouth and peer reviews in influencing purchasing decisions is becoming increasingly powerful. 100Comments.com serves as a platform for social savvy shoppers to stay on top of the latest product news, rate and review products and share real-life experience and opinions. For brand owners, 100Comments.com offers them a very powerful and valuable tool to understand consumer behavior and gain valuable market insights. A channel for them to connect to consumers and engage them in a two way dialogue. ",2017,Malaysia,http://www.100Comments.com,Media and Entertainment,null,null,null,null
42RACE,Fitness social platform for runners,42Race inspires million people to run via virtual running events. ,2017,Singapore,https://web.42race.com/,Sports & Recreation,null,null,null,null
AllizHealth,Web/mobile based Health management platform. ,"AllizHealth is one of the leading healthcare technology ventures in India, focused on preventive care. Started by a three people team, it has rapidly grown to a team of 30 and backed by some eminent physicians in the country. AllizHealthâ€™s HRA and other health management solutions have been adopted and being used actively by large insurance/healthcare providers, corporates and govt. organisations. At present, it is touching the lives of over 700,000 employees, helping them manage their health risks and conditions better.",2017,India,https://allizhealth.com/,"Medical, Health & Wellness",null,null,null,null
Ami,Smart room for rent in big cities. ,"Ami creates a self-managed home system and a virtual butler using Internet of Things and Artificial Intelligence to apply to any property like townhouse, apartment, office or Airbnb room to allow businesses to lower their costs by enabling them to run their operations remotely through the Internet. Also, tenants will experience new services that only Ami can serve such as electricity management online, sending and tracking issue real time, etc. to have a life full of love, peace and joy.

",2017,Viet Nam,http://www.aminion.com,Information & Communication ,null,null,null,null
ARTHA LTD,null,"Artha is creating Little Dragon, a system that recognises and attunes to the individual emotional patterns of device users.  We are starting with edugames focused on increasing emotional awareness and well-being.",2017,Hong Kong,https://youtu.be/SmjAa8iMkjU,Information & Communication ,null,null,null,null
Assignment Hero,null,"A collaboration platform built over Google apps to organize and work on individual or group assignments.
AssignmentHero is the fastest way to accomplish great things together.",2017,Australia,http://assignmenthero.com/,Education,null,null,null,null
BiiB,Connecting runners and creating a fun and motivating running environment ,"Running has a lot to give, but It is hard to start and keep running. We believe in creating fun, safe and motivating running environment to make running a habit for the people in ASEAN.

We are creating such environment by making our product easy to use, locally connected and full of motivating challenges and races.

We made runners app for ASEAN to make running a habit. Life is a marathon, join us!",2017,Malaysia,http://getbiib.com/,Sports & Recreation,null,null,null,null
Bookyboo,Personalised storybooks. ,"A Bookyboo is the Perfect Gift for a child. One of a kind Personalised Books for Kids. Cutting-edge technology, gripping stories, world-class illustrations & premium textured paper come together to create unbelievable variations which are the 1st ever in the world.
",2017,India,https://bookyboo.com/,E-Commerce,Education,null,null,null
Cafebond.com,Asia's largest specialty coffee beans e-commerce marketplace. Shop freshly roasted specialty coffee beans online from top coffee ,"Welcome to Cafebond.com, Asia's largest selection of specialty coffee.

When you shop at Cafebond.com youâ€™re tasting specialty coffee beans from farms around the world, ethically sourced and expertly roasted for you directly by our cafe and roaster partners everywhere from Melbourne to San Francisco, from Singapore to Tokyo, and we only work with the very best in the business.",2017,Malaysia,https://cafebond.com,E-Commerce,Food & Beverages,null,null,null
CanLaw,Lawyer-discovery platform. ,"CanLaw is a legal-tech startup providing a lawyer-discovery platform. Our vision is a world with open access to justice. We are passionate advocates of justice and the rule of law. We believe we can ensure justice for everybody by innovating legal services through the use of technology. Our goal is to help people find the right lawyer at the right price; and to provide lawyers with legal means of being discovered by clients. Ultimately, we see ourselves as passionate advocates of the rule of law and are committed to create a world with open access to justice. ",2017,Malaysia,https://canlaw.asia/,Consulting & Services,Legal and Law,null,null,null
Caredo,Online caregiver ecosystem.,"CareDo is an online caregiver ecosystem that is committed to providing information, support and guidance to the caregiver and associated industry professionals. Ours business provides a convenient, safe and secure platform for both caregiver and care taker to match their expectation. CareDo look to people who are interested in the professionalism of the caregiving e.g. confinement, child care industry and etc., to partner and grow with us. https://www.youtube.com/watch?v=XgC3WhfJo0k&app=desktop",2017,Malaysia,http://caredemy.com/,Consulting & Services,"Medical, Health & Wellness",Social,null,null
CarinMED,electronic record application application for volunteer doctors in mobile clinics to access and manage patients medical history,Provide the right software for volunteered doctors or mobile clinics to bring more benefit for more underprivileged individuals,2014,Malaysia,null,"Medical, Health & Wellness",Social,null,null,null
CEMPIA (TheDecisionLabs),Multi-channel. Multi-lingual. Digital Patient Experience Management PlatfM't  understand Patient Experience at every touch point in the Hospital,"TheDecisionLabs works with the leading hospitals through its flagship product CEMPIA . CEMPIA is a Multi-channel , Multi-lingual , Digital Patient Experience Management Platform to understand Patient Experience at every touch point in the Hospital . CEMPIA captures patients feedback, suggestions and complaints through a series of digital applications (Tab, KIOSK, SMS, Email, Social Media , Website , Audio ) and resolves any patient Dissatisfaction Real Time. The result is Satisfied Patients -Always !",2017,India,http://cempia.com/,Consulting & Services,"Medical, Health & Wellness",null,null,null
ChubbeeCloud,"First Printed Marshmallow Gift Box in Malaysia- ""The Coolest Edible Picture""  in the market.","ChubbeeCloud is offering the first personalized marshmallow gift box in Malaysia to both individual & corporate clients to transform their memories and thoughtful gestures into unique printed marshmallows via user-friendly online platform. https://www.youtube.com/watch?v=iOzIWSvcCBM&t=8s
",2017,Malaysia,https://www.chubbeecloud.com/,Food & Beverages,null,null,null,null
Closing The Gap,null,"Closing The Gap aims to improve access to higher education for young people from disadvantaged backgrounds. We provide support for post-schooling options for our scholars, personalised mentoring and career guidance to help them achieve their fullest potential. 

We do this through a two-year afterschool programme that sees them through the transition from high school to post-high school options. Students are paired with mentors who work closely with them to identify personal goals and interests and they also attend workshops that focused on developing their leadership and communication skills. ",2017,Malaysia,https://www.facebook.com/ClosingTheGapMalaysia/,Education,null,null,null,null
Cloudbreakr,Intelligent influencer platform which helps brands and marketers to find content  creators. ,"Empowered by Advwhere, Cloudbreakr is Asia's first intelligent platform for influencer discovery and ranking. With a unique analytics engine, we match marketers with trustable content creators in different industries for social endorsement, selling and business purposes.",2017,Malaysia,https://www.cloudbreakr.com,Consulting & Services,"Event, Marketing, Advertising",null,null,null
CollectCo Services,A network of crowdsourced collection points that offer parcel delivery and collection services. ,"Collectco lets you send, collect and return parcels at a local store near you. Our partner stores are pharmacies, hypermarket, convenient stores, cafÃ©, and many more. With hundreds of Collectco points nationwide, Collectco makes parcel delivery and returns easy.

Collectco handles the end to end for users giving them a hassle free experience. Collectco has launched with Lazada and Zalora for returns and most recently Lelong for collect and several other e-commerce merchants.",2017,Malaysia,http://collectco.my,Logistic & Transportation,null,null,null,null
